CALLING_ISDN,CALL_STA_TIME,CREDIT_CHARGED
1202000262,2/9/2017 19:13,534
1202000262,2/14/2017 17:00,1454
1202000262,2/1/2017 6:47,415
1202000262,2/15/2017 10:25,0
1202000262,2/14/2017 16:20,0
1202000262,2/1/2017 17:44,632
1202000262,2/6/2017 14:27,0
1202000262,2/5/2017 11:44,764
1202000262,2/5/2017 11:43,0
1202000262,2/9/2017 19:10,0
1202000262,2/6/2017 11:52,0
1202000262,2/2/2017 16:26,0
1202000262,2/12/2017 8:40,0
1202000262,2/8/2017 10:26,1187
1202000262,2/8/2017 12:18,400
1202000262,2/6/2017 17:31,0
1202000262,2/12/2017 8:51,0
1202000262,2/5/2017 11:47,448
1202000262,2/6/2017 17:11,0
1202000262,2/12/2017 8:42,0
1202000262,2/1/2017 18:32,623
1202000262,2/15/2017 7:11,1988
1202000262,2/1/2017 9:20,0
1202000262,2/14/2017 16:40,0
1202000262,2/4/2017 8:38,0
1202000262,2/1/2017 8:58,1038
1202000262,2/1/2017 18:30,0
1202000262,2/4/2017 8:41,593
1202000395,2/8/2017 18:13,0
1202000395,2/7/2017 11:54,0
1202000395,2/12/2017 7:08,1276
1202000395,2/3/2017 18:49,0
1202000395,2/4/2017 16:26,0
1202000395,2/5/2017 18:05,3620
1202000395,2/10/2017 21:07,0
1202000395,2/5/2017 18:26,395
1202000395,2/7/2017 18:53,184
1202000395,2/8/2017 18:31,1501
1202000395,2/12/2017 7:10,920
1202000395,2/7/2017 11:55,0
1202000395,2/6/2017 8:09,1080
1202000395,2/8/2017 18:29,0
1202000395,2/13/2017 16:39,237
1202000395,2/7/2017 11:49,0
1202000395,2/7/2017 11:41,0
1202000395,2/6/2017 8:08,564
1202000395,2/7/2017 11:09,0
1202000395,2/7/2017 11:54,0
1202000395,2/5/2017 8:40,0
1202000395,2/7/2017 11:41,0
1202000395,2/5/2017 9:17,290
1202000395,2/3/2017 18:15,623
1202000395,2/2/2017 11:09,1343
1202000395,2/4/2017 18:35,920
1202000395,2/4/2017 16:25,0
1202000395,2/2/2017 15:13,0
1202000395,2/4/2017 16:32,1929
1202000395,2/7/2017 11:09,0
1202000395,2/7/2017 11:43,0
1202000395,2/5/2017 20:58,0
1202002017,2/7/2017 16:25,0
1202002017,2/10/2017 11:02,0
1202002017,2/10/2017 10:13,0
1202002017,2/2/2017 10:02,0
1202002017,2/10/2017 14:03,0
1202002017,2/11/2017 16:12,0
1202002017,2/3/2017 15:35,0
1202002017,2/5/2017 0:20,0
1202002017,2/13/2017 21:25,0
1202002017,2/7/2017 11:05,0
1202002017,2/8/2017 11:38,0
1202002017,2/15/2017 20:25,250
1202002017,2/5/2017 1:32,0
1202002017,2/5/2017 0:08,0
1202002017,2/6/2017 22:15,0
1202002017,2/3/2017 22:02,0
1202002017,2/3/2017 22:18,0
1202002017,2/13/2017 14:50,0
1202002017,2/10/2017 15:50,0
1202002017,2/13/2017 22:59,0
1202002017,2/14/2017 10:06,0
1202002017,2/2/2017 12:15,0
1202002017,2/12/2017 16:36,0
1202002017,2/3/2017 16:44,0
1202002017,2/10/2017 14:29,0
1202002017,2/12/2017 14:09,0
1202002017,2/12/2017 14:18,0
1202002017,2/13/2017 10:53,0
1202002017,2/12/2017 13:51,0
1202002017,2/9/2017 20:35,0
1202002017,2/12/2017 21:12,0
1202002017,2/6/2017 21:27,0
1202002017,2/6/2017 20:18,0
1202002017,2/4/2017 22:34,0
1202002017,2/10/2017 10:19,0
1202002017,2/7/2017 16:14,0
1202002017,2/2/2017 11:16,0
1202002017,2/7/2017 10:01,0
1202002017,2/8/2017 21:33,0
1202002017,2/8/2017 14:08,0
1202002017,2/6/2017 22:13,0
1202002017,2/7/2017 16:34,0
1202002017,2/5/2017 0:47,0
1202002017,2/2/2017 11:16,0
1202002017,2/7/2017 21:33,0
1202002017,2/11/2017 15:50,0
1202002017,2/6/2017 21:52,0
1202002017,2/8/2017 10:05,0
1202002017,2/6/2017 22:08,0
1202002017,2/5/2017 1:08,0
1202002017,2/3/2017 16:05,0
1202002017,2/6/2017 22:16,0
1202002017,2/7/2017 22:11,0
1202002017,2/5/2017 1:13,0
1202002017,2/11/2017 16:04,0
1202002017,2/8/2017 9:39,0
1202002017,2/5/2017 22:16,0
1202002017,2/1/2017 8:54,0
